__time,/debug/enable_control,/debug/fire,/debug/pitch,/debug/pitch_gimbal,/debug/target_pitch,/debug/target_yaw,/debug/yaw,/debug/yaw_gimbal
1764763372.528575,1.000000000,1.000000000,-0.045006290,-0.037257504,-0.045006290,-0.196934626,-0.196934626,-0.199637532
1764763372.539264,1.000000000,1.000000000,-0.044253502,-0.037273768,-0.044253502,-0.195427939,-0.195427939,-0.199686050
1764763372.550264,1.000000000,1.000000000,-0.044232246,-0.037302207,-0.044232246,-0.195318773,-0.195318773,-0.199656367
1764763372.560968,1.000000000,1.000000000,-0.044211045,-0.037337989,-0.044211045,-0.195209786,-0.195209786,-0.199418545
1764763372.572087,1.000000000,1.000000000,-0.043763075,-0.037381966,-0.043763075,-0.194849283,-0.194849283,-0.199116588
1764763372.582674,1.000000000,1.000000000,-0.043723449,-0.037379544,-0.043723449,-0.194720820,-0.194720820,-0.198892951
1764763372.593604,1.000000000,1.000000000,-0.043653335,-0.037382264,-0.043653335,-0.195337743,-0.195337743,-0.198567152
1764763372.604652,1.000000000,1.000000000,-0.043612774,-0.037373964,-0.043612774,-0.195243150,-0.195243150,-0.198343158
1764763372.615868,1.000000000,1.000000000,-0.044055715,-0.037398554,-0.044055715,-0.196944475,-0.196944475,-0.198077559
1764763372.626607,1.000000000,1.000000000,-0.044035859,-0.037462529,-0.044035859,-0.196943030,-0.196943030,-0.197973490
1764763372.637905,1.000000000,1.000000000,-0.043879848,-0.037431479,-0.043879844,-0.196600661,-0.196600661,-0.197963238
1764763372.648939,1.000000000,1.000000000,-0.043853864,-0.037407324,-0.043853864,-0.196575776,-0.196575776,-0.198001385
1764763372.659863,1.000000000,1.000000000,-0.043848563,-0.037400246,-0.043848563,-0.196399957,-0.196399957,-0.198040962
1764763372.670887,1.000000000,1.000000000,-0.043823723,-0.037383262,-0.043823723,-0.196368039,-0.196368039,-0.198157430
1764763372.681705,1.000000000,1.000000000,-0.044126596,-0.037401371,-0.044126596,-0.197045818,-0.197045818,-0.198141694
1764763372.692526,1.000000000,1.000000000,-0.044116147,-0.037448298,-0.044116147,-0.197048247,-0.197048247,-0.198137164
1764763372.703099,1.000000000,1.000000000,-0.044105832,-0.037460864,-0.044105832,-0.197050646,-0.197050646,-0.198188901
1764763372.714251,1.000000000,1.000000000,-0.044008456,-0.037449643,-0.044008456,-0.197238222,-0.197238222,-0.198197007
1764763372.724984,1.000000000,1.000000000,-0.043993846,-0.037443768,-0.043993846,-0.197248414,-0.197248414,-0.198223591
1764763372.735813,1.000000000,1.000000000,-0.044203587,-0.037474476,-0.044203587,-0.198116884,-0.198116884,-0.198273420
1764763372.746992,1.000000000,1.000000000,-0.044198528,-0.037489381,-0.044198528,-0.198166087,-0.198166087,-0.198291779
1764763372.758010,1.000000000,1.000000000,-0.044115543,-0.037498932,-0.044115543,-0.197934031,-0.197934031,-0.198295474
1764763372.768864,1.000000000,1.000000000,-0.044106867,-0.037478697,-0.044106867,-0.197970822,-0.197970822,-0.198407888
1764763372.779909,1.000000000,1.000000000,-0.044050720,-0.037471328,-0.044050720,-0.197827294,-0.197827294,-0.198599696
1764763372.790791,1.000000000,1.000000000,-0.044039894,-0.037501317,-0.044039894,-0.197855547,-0.197855547,-0.198651910
1764763372.801819,1.000000000,1.000000000,-0.044047244,-0.037561554,-0.044047244,-0.197755143,-0.197755143,-0.198626757
1764763372.812534,1.000000000,1.000000000,-0.044037219,-0.037539680,-0.044037219,-0.197777256,-0.197777256,-0.198799253
1764763372.823052,1.000000000,1.000000000,-0.044027276,-0.037553739,-0.044027276,-0.197799176,-0.197799176,-0.198807359
1764763372.834207,1.000000000,1.000000000,-0.044046152,-0.037529152,-0.044046152,-0.197737724,-0.197737724,-0.198751807
1764763372.845055,1.000000000,1.000000000,-0.044037044,-0.037545785,-0.044037044,-0.197756812,-0.197756812,-0.198863983
1764763372.856107,1.000000000,1.000000000,-0.044066314,-0.037617270,-0.044066314,-0.197729066,-0.197729066,-0.198861241
1764763372.866734,1.000000000,1.000000000,-0.044058837,-0.037606832,-0.044058837,-0.197746262,-0.197746262,-0.198827028
1764763372.877763,1.000000000,1.000000000,-0.044174615,-0.037553955,-0.044174615,-0.196277663,-0.196277663,-0.198921680
1764763372.888813,1.000000000,1.000000000,-0.044172708,-0.037547924,-0.044172708,-0.196221679,-0.196221679,-0.198857903
1764763372.899911,1.000000000,1.000000000,-0.044211358,-0.037590846,-0.044211358,-0.195581943,-0.195581943,-0.198873878
1764763372.910367,1.000000000,1.000000000,-0.044211507,-0.037597813,-0.044211507,-0.195495799,-0.195495799,-0.198897600
1764763372.920974,1.000000000,1.000000000,-0.044211701,-0.037576333,-0.044211701,-0.195411384,-0.195411384,-0.198727965
1764763372.931950,1.000000000,1.000000000,-0.044847477,-0.037567846,-0.044847477,-0.197787836,-0.197787836,-0.198562503
1764763372.942721,1.000000000,1.000000000,-0.044875260,-0.037567668,-0.044875260,-0.197828189,-0.197828189,-0.198487520
1764763372.954090,1.000000000,1.000000000,-0.045579851,-0.037579998,-0.045579851,-0.199516207,-0.199516207,-0.198311090
1764763372.965075,1.000000000,1.000000000,-0.045639586,-0.037511762,-0.045639586,-0.199642956,-0.199642956,-0.198321462
1764763372.976314,1.000000000,1.000000000,-0.045049146,-0.037478283,-0.045049146,-0.197527885,-0.197527885,-0.198523402
1764763372.987575,1.000000000,1.000000000,-0.045079589,-0.037455563,-0.045079589,-0.197545990,-0.197545990,-0.198602676
1764763372.998493,1.000000000,1.000000000,-0.044946652,-0.037408739,-0.044946652,-0.197713137,-0.197713137,-0.198830009
1764763373.009393,1.000000000,1.000000000,-0.044969734,-0.037454356,-0.044969734,-0.197737202,-0.197737202,-0.199047446
1764763373.020627,1.000000000,1.000000000,-0.044850424,-0.037493397,-0.044850424,-0.197483867,-0.197483867,-0.199024439
1764763373.031567,1.000000000,1.000000000,-0.044867214,-0.037468370,-0.044867214,-0.197494864,-0.197494864,-0.199109197
1764763373.042312,1.000000000,1.000000000,-0.044476692,-0.037486743,-0.044476692,-0.197104901,-0.197104901,-0.199132919
1764763373.053632,1.000000000,1.000000000,-0.044474412,-0.037501398,-0.044474412,-0.197093606,-0.197093606,-0.198948145
1764763373.064538,1.000000000,1.000000000,-0.044269882,-0.037428804,-0.044269882,-0.197117999,-0.197117999,-0.198916078
1764763373.075685,1.000000000,1.000000000,-0.044258393,-0.037432328,-0.044258393,-0.197106004,-0.197106004,-0.198952675
1764763373.086577,1.000000000,1.000000000,-0.043654118,-0.037493408,-0.043654118,-0.193925515,-0.193925515,-0.198898315
1764763373.097610,1.000000000,1.000000000,-0.043616451,-0.037479226,-0.043616451,-0.193761796,-0.193761796,-0.198846698
1764763373.108266,1.000000000,1.000000000,-0.043676291,-0.037503541,-0.043676291,-0.193890095,-0.193890095,-0.198822021
1764763373.119413,1.000000000,1.000000000,-0.043643083,-0.037554003,-0.043643083,-0.193734676,-0.193734676,-0.198642850
1764763373.130476,1.000000000,1.000000000,-0.043609973,-0.037533887,-0.043609973,-0.193579584,-0.193579584,-0.198251486
1764763373.141349,1.000000000,1.000000000,-0.043754149,-0.037547007,-0.043754149,-0.193924829,-0.193924829,-0.197888613
1764763373.152306,1.000000000,1.000000000,-0.043728147,-0.037567805,-0.043728147,-0.193782032,-0.193782032,-0.197661877
1764763373.163328,1.000000000,1.000000000,-0.044045363,-0.037575077,-0.044045363,-0.195639446,-0.195639446,-0.197387695
1764763373.174087,1.000000000,1.000000000,-0.044034395,-0.037545964,-0.044034395,-0.195591927,-0.195591927,-0.197172284
1764763373.185424,1.000000000,1.000000000,-0.044243149,-0.037523471,-0.044243149,-0.196854651,-0.196854651,-0.197147250
1764763373.196777,1.000000000,1.000000000,-0.044344336,-0.037565071,-0.044344336,-0.197525665,-0.197525665,-0.197144151
1764763373.207911,1.000000000,1.000000000,-0.044347916,-0.037557341,-0.044347916,-0.197576329,-0.197576329,-0.197135687
1764763373.218215,1.000000000,1.000000000,-0.044351459,-0.037529681,-0.044351459,-0.197626427,-0.197626427,-0.197367191
1764763373.229171,1.000000000,1.000000000,-0.044016339,-0.037546761,-0.044016339,-0.197287649,-0.197287649,-0.197694898
1764763373.240097,1.000000000,1.000000000,-0.044005070,-0.037543871,-0.044005070,-0.197315946,-0.197315946,-0.197882652
1764763373.251157,1.000000000,1.000000000,-0.044472255,-0.037548684,-0.044472255,-0.198933840,-0.198933840,-0.197901130
1764763373.262126,1.000000000,1.000000000,-0.044483308,-0.037574772,-0.044483308,-0.199052036,-0.199052036,-0.198066473
1764763373.272907,1.000000000,1.000000000,-0.044483766,-0.037607957,-0.044483766,-0.198687062,-0.198687062,-0.198151112
1764763373.284054,1.000000000,1.000000000,-0.044494029,-0.037561271,-0.044494029,-0.198780075,-0.198780075,-0.198135257
1764763373.294853,1.000000000,1.000000000,-0.044504490,-0.037500504,-0.044504490,-0.198874637,-0.198874637,-0.198305249
1764763373.306149,1.000000000,1.000000000,-0.044517491,-0.037532922,-0.044517491,-0.198483557,-0.198483557,-0.198570728
