__time,/detected_data/armor[0]/conf_color,/detected_data/armor[0]/conf_number,/detected_data/armor[0]/corners[0]/x,/detected_data/armor[0]/corners[0]/y,/detected_data/armor[0]/corners[0]/z,/detected_data/armor[0]/corners[1]/x,/detected_data/armor[0]/corners[1]/y,/detected_data/armor[0]/corners[1]/z,/detected_data/armor[0]/corners[2]/x,/detected_data/armor[0]/corners[2]/y,/detected_data/armor[0]/corners[2]/z,/detected_data/armor[0]/corners[3]/x,/detected_data/armor[0]/corners[3]/y,/detected_data/armor[0]/corners[3]/z,/detected_data/armor[0]/header/stamp/nanosec,/detected_data/armor[0]/header/stamp/sec,/detected_data/armor[0]/light_corners[0]/x,/detected_data/armor[0]/light_corners[0]/y,/detected_data/armor[0]/light_corners[0]/z,/detected_data/armor[0]/light_corners[1]/x,/detected_data/armor[0]/light_corners[1]/y,/detected_data/armor[0]/light_corners[1]/z,/detected_data/armor[0]/light_corners[2]/x,/detected_data/armor[0]/light_corners[2]/y,/detected_data/armor[0]/light_corners[2]/z,/detected_data/armor[0]/light_corners[3]/x,/detected_data/armor[0]/light_corners[3]/y,/detected_data/armor[0]/light_corners[3]/z,/detected_data/armor[0]/number,/detected_data/armor[0]/thread_id,/detected_data/armor_count,/detected_data/header/stamp/nanosec,/detected_data/header/stamp/sec,/detected_data/target_id
1752906052.283370,0.717967689,2.381310225,372.000000000,283.000000000,0.000000000,822.000000000,283.000000000,0.000000000,822.000000000,641.000000000,0.000000000,372.000000000,641.000000000,0.000000000,249022656.000000000,1752906052.000000000,388.226470947,407.974975586,0.000000000,792.469848633,387.479003906,0.000000000,803.871215820,526.209411621,0.000000000,380.407135010,547.287719727,0.000000000,3.000000000,0.000000000,1.000000000,249022656.000000000,1752906052.000000000,3.000000000
1752906052.292172,0.718131423,2.350019693,372.000000000,283.000000000,0.000000000,822.000000000,283.000000000,0.000000000,822.000000000,641.000000000,0.000000000,372.000000000,641.000000000,0.000000000,260165893.000000000,1752906052.000000000,388.666534424,408.107299805,0.000000000,792.459960938,387.521636963,0.000000000,806.335449219,527.420104980,0.000000000,380.429504395,547.289672852,0.000000000,3.000000000,0.000000000,1.000000000,260165893.000000000,1752906052.000000000,3.000000000
1752906052.304697,0.715886414,2.472848415,353.000000000,283.000000000,0.000000000,821.000000000,283.000000000,0.000000000,821.000000000,641.000000000,0.000000000,353.000000000,641.000000000,0.000000000,271531162.000000000,1752906052.000000000,388.685546875,408.102966309,0.000000000,792.460693359,387.489440918,0.000000000,805.616943359,527.108093262,0.000000000,378.343353271,548.237915039,0.000000000,3.000000000,0.000000000,1.000000000,271531162.000000000,1752906052.000000000,3.000000000
1752906052.315857,0.715417266,2.531912804,353.000000000,283.000000000,0.000000000,821.000000000,283.000000000,0.000000000,821.000000000,641.000000000,0.000000000,353.000000000,641.000000000,0.000000000,282548046.000000000,1752906052.000000000,388.248352051,407.972442627,0.000000000,792.001220703,387.546051025,0.000000000,805.006042480,526.808410645,0.000000000,378.306182861,548.247619629,0.000000000,3.000000000,0.000000000,1.000000000,282548046.000000000,1752906052.000000000,3.000000000
1752906052.336907,0.718663275,2.501112700,353.000000000,283.000000000,0.000000000,821.000000000,283.000000000,0.000000000,821.000000000,641.000000000,0.000000000,353.000000000,641.000000000,0.000000000,304818488.000000000,1752906052.000000000,388.237670898,407.977203369,0.000000000,792.961120605,387.422912598,0.000000000,805.016723633,526.766723633,0.000000000,378.354156494,548.237548828,0.000000000,3.000000000,0.000000000,1.000000000,304818488.000000000,1752906052.000000000,3.000000000
1752906052.345058,0.715717316,2.323396683,353.000000000,283.000000000,0.000000000,821.000000000,283.000000000,0.000000000,821.000000000,641.000000000,0.000000000,353.000000000,641.000000000,0.000000000,316039100.000000000,1752906052.000000000,388.247009277,407.976257324,0.000000000,792.475952148,387.470245361,0.000000000,805.056579590,526.730834961,0.000000000,378.383331299,548.253479004,0.000000000,3.000000000,0.000000000,1.000000000,316039100.000000000,1752906052.000000000,3.000000000
1752906052.355134,0.718113303,2.333796501,353.000000000,283.000000000,0.000000000,821.000000000,283.000000000,0.000000000,821.000000000,641.000000000,0.000000000,353.000000000,641.000000000,0.000000000,326950296.000000000,1752906052.000000000,388.706054688,408.069824219,0.000000000,792.450073242,387.480133057,0.000000000,805.027832031,526.765014648,0.000000000,378.992950439,547.986206055,0.000000000,3.000000000,0.000000000,1.000000000,326950296.000000000,1752906052.000000000,3.000000000
1752906052.369967,0.715133727,2.478916645,372.000000000,283.000000000,0.000000000,822.000000000,283.000000000,0.000000000,822.000000000,641.000000000,0.000000000,372.000000000,641.000000000,0.000000000,338171450.000000000,1752906052.000000000,388.236785889,408.057739258,0.000000000,792.447204590,387.548034668,0.000000000,805.089721680,526.783020020,0.000000000,380.405181885,547.197875977,0.000000000,3.000000000,0.000000000,1.000000000,338171450.000000000,1752906052.000000000,3.000000000
1752906052.378974,0.716963112,2.352170229,353.000000000,283.000000000,0.000000000,821.000000000,283.000000000,0.000000000,821.000000000,641.000000000,0.000000000,353.000000000,641.000000000,0.000000000,349180899.000000000,1752906052.000000000,388.700531006,408.070098877,0.000000000,792.484802246,387.457031250,0.000000000,805.805664063,526.316284180,0.000000000,378.358245850,548.240356445,0.000000000,3.000000000,0.000000000,1.000000000,349180899.000000000,1752906052.000000000,3.000000000
1752906052.389209,0.715265214,2.397268057,353.000000000,283.000000000,0.000000000,821.000000000,283.000000000,0.000000000,821.000000000,641.000000000,0.000000000,353.000000000,641.000000000,0.000000000,360170653.000000000,1752906052.000000000,388.245758057,407.965484619,0.000000000,792.944213867,387.414093018,0.000000000,805.033691406,526.771240234,0.000000000,378.388580322,548.203430176,0.000000000,3.000000000,0.000000000,1.000000000,360170653.000000000,1752906052.000000000,3.000000000
