__time,/pnp_solver/targets/header/stamp/nanosec,/pnp_solver/targets/header/stamp/sec,/pnp_solver/targets/targets[0]/corners[0]/x,/pnp_solver/targets/targets[0]/corners[0]/y,/pnp_solver/targets/targets[0]/corners[0]/z,/pnp_solver/targets/targets[0]/corners[1]/x,/pnp_solver/targets/targets[0]/corners[1]/y,/pnp_solver/targets/targets[0]/corners[1]/z,/pnp_solver/targets/targets[0]/corners[2]/x,/pnp_solver/targets/targets[0]/corners[2]/y,/pnp_solver/targets/targets[0]/corners[2]/z,/pnp_solver/targets/targets[0]/corners[3]/x,/pnp_solver/targets/targets[0]/corners[3]/y,/pnp_solver/targets/targets[0]/corners[3]/z,/pnp_solver/targets/targets[0]/distance,/pnp_solver/targets/targets[0]/header/stamp/nanosec,/pnp_solver/targets/targets[0]/header/stamp/sec,/pnp_solver/targets/targets[0]/pitch,/pnp_solver/targets/targets[0]/position/x,/pnp_solver/targets/targets[0]/position/y,/pnp_solver/targets/targets[0]/position/z,/pnp_solver/targets/targets[0]/roll,/pnp_solver/targets/targets[0]/yaw,/pnp_solver/targets/targets[0]/yaw_self
1752816947.095484,63046061.000000000,1752816947.000000000,539.102172852,288.300933838,0.000000000,774.090270996,288.308044434,0.000000000,774.424743652,460.328582764,0.000000000,538.965637207,460.070953369,0.000000000,1.000139279,63046061.000000000,1752816947.000000000,-0.111088030,0.993490683,0.030955469,-0.110874945,0.000000000,0.031148211,-0.016940199
1752816947.112266,74242417.000000000,1752816947.000000000,539.102172852,288.300933838,0.000000000,774.090270996,288.308044434,0.000000000,774.424743652,460.328582764,0.000000000,538.965637207,460.070953369,0.000000000,1.000139279,74242417.000000000,1752816947.000000000,-0.111100278,0.993489688,0.030943792,-0.110887119,0.000000000,0.031136500,-0.016940199
1752816947.127140,85414689.000000000,1752816947.000000000,539.102172852,288.300933838,0.000000000,774.090270996,288.308044434,0.000000000,774.424743652,460.328582764,0.000000000,538.965637207,460.070953369,0.000000000,1.000139279,85414689.000000000,1752816947.000000000,-0.111100278,0.993489688,0.030943792,-0.110887119,0.000000000,0.031136500,-0.016940199
1752816947.137571,96688573.000000000,1752816947.000000000,539.102172852,288.300933838,0.000000000,774.090270996,288.308044434,0.000000000,774.424743652,460.328582764,0.000000000,538.965637207,460.070953369,0.000000000,1.000139279,96688573.000000000,1752816947.000000000,-0.111101869,0.993489860,0.030932601,-0.110888700,0.000000000,0.031125241,-0.016940199
1752816947.151712,107616389.000000000,1752816947.000000000,539.102172852,288.300933838,0.000000000,774.090270996,288.308044434,0.000000000,774.424743652,460.328582764,0.000000000,538.965637207,460.070953369,0.000000000,1.000139279,107616389.000000000,1752816947.000000000,-0.111087295,0.993491463,0.030933046,-0.110874214,0.000000000,0.031125639,-0.016940199
1752816947.161837,129664621.000000000,1752816947.000000000,539.102172852,288.300933838,0.000000000,774.090270996,288.308044434,0.000000000,774.424743652,460.328582764,0.000000000,538.965637207,460.070953369,0.000000000,1.000139279,129664621.000000000,1752816947.000000000,-0.111086368,0.993491894,0.030922513,-0.110873292,0.000000000,0.031115033,-0.016940199
1752816947.179260,151911533.000000000,1752816947.000000000,539.102172852,288.300933838,0.000000000,774.090270996,288.308044434,0.000000000,774.424743652,460.328582764,0.000000000,538.965637207,460.070953369,0.000000000,1.000139279,151911533.000000000,1752816947.000000000,-0.111067288,0.993494367,0.030911045,-0.110854328,0.000000000,0.031103424,-0.016940199
1752816947.198386,174113908.000000000,1752816947.000000000,539.102172852,288.300933838,0.000000000,774.090270996,288.308044434,0.000000000,774.424743652,460.328582764,0.000000000,538.965637207,460.070953369,0.000000000,1.000139279,174113908.000000000,1752816947.000000000,-0.111097082,0.993491059,0.030911137,-0.110883942,0.000000000,0.031103619,-0.016940199
1752816947.213808,185260353.000000000,1752816947.000000000,539.102172852,288.300933838,0.000000000,774.090270996,288.308044434,0.000000000,774.424743652,460.328582764,0.000000000,538.965637207,460.070953369,0.000000000,1.000139279,185260353.000000000,1752816947.000000000,-0.111094973,0.993491280,0.030911566,-0.110881846,0.000000000,0.031104045,-0.016940199
1752816947.225826,196414586.000000000,1752816947.000000000,539.102172852,288.300933838,0.000000000,774.090270996,288.308044434,0.000000000,774.424743652,460.328582764,0.000000000,538.965637207,460.070953369,0.000000000,1.000139279,196414586.000000000,1752816947.000000000,-0.111094973,0.993491280,0.030911566,-0.110881846,0.000000000,0.031104045,-0.016940199
1752816947.245876,218582233.000000000,1752816947.000000000,539.102172852,288.300933838,0.000000000,774.090270996,288.308044434,0.000000000,774.424743652,460.328582764,0.000000000,538.965637207,460.070953369,0.000000000,1.000139279,218582233.000000000,1752816947.000000000,-0.111098410,0.993492173,0.030870567,-0.110885262,0.000000000,0.031062788,-0.016940199
1752816947.261035,229710997.000000000,1752816947.000000000,539.102172852,288.300933838,0.000000000,774.090270996,288.308044434,0.000000000,774.424743652,460.328582764,0.000000000,538.965637207,460.070953369,0.000000000,1.000139279,229710997.000000000,1752816947.000000000,-0.111098410,0.993492173,0.030870567,-0.110885262,0.000000000,0.031062788,-0.016940199
1752816947.273279,240854763.000000000,1752816947.000000000,539.102172852,288.300933838,0.000000000,774.090270996,288.308044434,0.000000000,774.424743652,460.328582764,0.000000000,538.965637207,460.070953369,0.000000000,1.000139279,240854763.000000000,1752816947.000000000,-0.111100952,0.993491859,0.030871591,-0.110887788,0.000000000,0.031063828,-0.016940199
1752816947.286611,251976351.000000000,1752816947.000000000,539.102172852,288.300933838,0.000000000,774.090270996,288.308044434,0.000000000,774.424743652,460.328582764,0.000000000,538.965637207,460.070953369,0.000000000,1.000139279,251976351.000000000,1752816947.000000000,-0.111086492,0.993493461,0.030871659,-0.110873415,0.000000000,0.031063847,-0.016940199
1752816947.304886,274187235.000000000,1752816947.000000000,539.102172852,288.300933838,0.000000000,774.090270996,288.308044434,0.000000000,774.424743652,460.328582764,0.000000000,538.965637207,460.070953369,0.000000000,1.000139279,274187235.000000000,1752816947.000000000,-0.111078459,0.993495073,0.030848451,-0.110865431,0.000000000,0.031040458,-0.016940199
1752816947.331867,296362206.000000000,1752816947.000000000,539.102172852,288.300933838,0.000000000,774.090270996,288.308044434,0.000000000,774.424743652,460.328582764,0.000000000,538.965637207,460.070953369,0.000000000,1.000139279,296362206.000000000,1752816947.000000000,-0.111074364,0.993495524,0.030848576,-0.110861361,0.000000000,0.031040570,-0.016940199
1752816947.350407,307531420.000000000,1752816947.000000000,539.102172852,288.300933838,0.000000000,774.090270996,288.308044434,0.000000000,774.424743652,460.328582764,0.000000000,538.965637207,460.070953369,0.000000000,1.000139279,307531420.000000000,1752816947.000000000,-0.111081978,0.993494678,0.030848607,-0.110868929,0.000000000,0.031040628,-0.016940199
1752816947.361857,318708639.000000000,1752816947.000000000,539.102172852,288.300933838,0.000000000,774.090270996,288.308044434,0.000000000,774.424743652,460.328582764,0.000000000,538.965637207,460.070953369,0.000000000,1.000139279,318708639.000000000,1752816947.000000000,-0.111060314,0.993497113,0.030847588,-0.110847395,0.000000000,0.031039527,-0.016940199
1752816947.374551,341056178.000000000,1752816947.000000000,539.102172852,288.300933838,0.000000000,774.090270996,288.308044434,0.000000000,774.424743652,460.328582764,0.000000000,538.965637207,460.070953369,0.000000000,1.000139279,341056178.000000000,1752816947.000000000,-0.111054497,0.993497759,0.030847551,-0.110841614,0.000000000,0.031039470,-0.016940199
1752816947.381980,351995573.000000000,1752816947.000000000,539.102172852,288.300933838,0.000000000,774.090270996,288.308044434,0.000000000,774.424743652,460.328582764,0.000000000,538.965637207,460.070953369,0.000000000,1.000139279,351995573.000000000,1752816947.000000000,-0.111041725,0.993499173,0.030847615,-0.110828919,0.000000000,0.031039490,-0.016940199
1752816947.395886,363075200.000000000,1752816947.000000000,539.102172852,288.300933838,0.000000000,774.090270996,288.308044434,0.000000000,774.424743652,460.328582764,0.000000000,538.965637207,460.070953369,0.000000000,1.000139279,363075200.000000000,1752816947.000000000,-0.111011387,0.993502529,0.030847856,-0.110798764,0.000000000,0.031039627,-0.016940199
1752816947.408432,374257571.000000000,1752816947.000000000,539.102172852,288.300933838,0.000000000,774.090270996,288.308044434,0.000000000,774.424743652,460.328582764,0.000000000,538.965637207,460.070953369,0.000000000,1.000139279,374257571.000000000,1752816947.000000000,-0.111011387,0.993502529,0.030847856,-0.110798764,0.000000000,0.031039627,-0.016940199
1752816947.419938,385369809.000000000,1752816947.000000000,539.102172852,288.300933838,0.000000000,774.090270996,288.308044434,0.000000000,774.424743652,460.328582764,0.000000000,538.965637207,460.070953369,0.000000000,1.000139279,385369809.000000000,1752816947.000000000,-0.111012954,0.993502368,0.030847452,-0.110800321,0.000000000,0.031039226,-0.016940199
1752816947.435309,407493491.000000000,1752816947.000000000,539.102172852,288.300933838,0.000000000,774.090270996,288.308044434,0.000000000,774.424743652,460.328582764,0.000000000,538.965637207,460.070953369,0.000000000,1.000139279,407493491.000000000,1752816947.000000000,-0.111032387,0.993499470,0.030871372,-0.110819637,0.000000000,0.031063370,-0.016940199
1752816947.447622,418715717.000000000,1752816947.000000000,539.102172852,288.300933838,0.000000000,774.090270996,288.308044434,0.000000000,774.424743652,460.328582764,0.000000000,538.965637207,460.070953369,0.000000000,1.000139279,418715717.000000000,1752816947.000000000,-0.111025541,0.993500223,0.030871596,-0.110812832,0.000000000,0.031063572,-0.016940199
1752816947.471088,440853786.000000000,1752816947.000000000,539.102172852,288.300933838,0.000000000,774.090270996,288.308044434,0.000000000,774.424743652,460.328582764,0.000000000,538.965637207,460.070953369,0.000000000,1.000139279,440853786.000000000,1752816947.000000000,-0.111035251,0.993498736,0.030884800,-0.110822484,0.000000000,0.031076896,-0.016940199
1752816947.482466,451886193.000000000,1752816947.000000000,539.102172852,288.300933838,0.000000000,774.090270996,288.308044434,0.000000000,774.424743652,460.328582764,0.000000000,538.965637207,460.070953369,0.000000000,1.000139279,451886193.000000000,1752816947.000000000,-0.111016169,0.993500849,0.030884868,-0.110803517,0.000000000,0.031076898,-0.016940199
1752816947.497970,463019935.000000000,1752816947.000000000,539.102172852,288.300933838,0.000000000,774.090270996,288.308044434,0.000000000,774.424743652,460.328582764,0.000000000,538.965637207,460.070953369,0.000000000,1.000139279,463019935.000000000,1752816947.000000000,-0.111009024,0.993501650,0.030884570,-0.110796415,0.000000000,0.031076573,-0.016940199
1752816947.508902,474135253.000000000,1752816947.000000000,539.102172852,288.300933838,0.000000000,774.090270996,288.308044434,0.000000000,774.424743652,460.328582764,0.000000000,538.965637207,460.070953369,0.000000000,1.000139279,474135253.000000000,1752816947.000000000,-0.110998244,0.993503160,0.030874453,-0.110785699,0.000000000,0.031066353,-0.016940199
1752816947.521493,485260833.000000000,1752816947.000000000,539.102172852,288.300933838,0.000000000,774.090270996,288.308044434,0.000000000,774.424743652,460.328582764,0.000000000,538.965637207,460.070953369,0.000000000,1.000139279,485260833.000000000,1752816947.000000000,-0.110998244,0.993503160,0.030874453,-0.110785699,0.000000000,0.031066353,-0.016940199
1752816947.530642,496479318.000000000,1752816947.000000000,539.102172852,288.300933838,0.000000000,774.090270996,288.308044434,0.000000000,774.424743652,460.328582764,0.000000000,538.965637207,460.070953369,0.000000000,1.000139279,496479318.000000000,1752816947.000000000,-0.110980773,0.993505122,0.030873617,-0.110768333,0.000000000,0.031065451,-0.016940199
1752816947.538777,507516816.000000000,1752816947.000000000,539.102172852,288.300933838,0.000000000,774.090270996,288.308044434,0.000000000,774.424743652,460.328582764,0.000000000,538.965637207,460.070953369,0.000000000,1.000139279,507516816.000000000,1752816947.000000000,-0.110980689,0.993504478,0.030894621,-0.110768250,0.000000000,0.031086592,-0.016940199
1752816947.550452,518557394.000000000,1752816947.000000000,539.102172852,288.300933838,0.000000000,774.090270996,288.308044434,0.000000000,774.424743652,460.328582764,0.000000000,538.965637207,460.070953369,0.000000000,1.000139279,518557394.000000000,1752816947.000000000,-0.110980689,0.993504478,0.030894621,-0.110768250,0.000000000,0.031086592,-0.016940199
1752816947.567452,540787081.000000000,1752816947.000000000,539.102172852,288.300933838,0.000000000,774.090270996,288.308044434,0.000000000,774.424743652,460.328582764,0.000000000,538.965637207,460.070953369,0.000000000,1.000139279,540787081.000000000,1752816947.000000000,-0.110966896,0.993506037,0.030893657,-0.110754540,0.000000000,0.031085574,-0.016940199
1752816947.585070,551996863.000000000,1752816947.000000000,539.102172852,288.300933838,0.000000000,774.090270996,288.308044434,0.000000000,774.424743652,460.328582764,0.000000000,538.965637207,460.070953369,0.000000000,1.000139279,551996863.000000000,1752816947.000000000,-0.110966896,0.993506037,0.030893657,-0.110754540,0.000000000,0.031085574,-0.016940199
1752816947.594437,562966871.000000000,1752816947.000000000,539.102172852,288.300933838,0.000000000,774.090270996,288.308044434,0.000000000,774.424743652,460.328582764,0.000000000,538.965637207,460.070953369,0.000000000,1.000139279,562966871.000000000,1752816947.000000000,-0.110987919,0.993503702,0.030893830,-0.110775437,0.000000000,0.031085821,-0.016940199
1752816947.605879,574078446.000000000,1752816947.000000000,539.102172852,288.300933838,0.000000000,774.090270996,288.308044434,0.000000000,774.424743652,460.328582764,0.000000000,538.965637207,460.070953369,0.000000000,1.000139279,574078446.000000000,1752816947.000000000,-0.111007317,0.993501551,0.030893863,-0.110794718,0.000000000,0.031085921,-0.016940199
1752816947.616859,585237902.000000000,1752816947.000000000,539.102172852,288.300933838,0.000000000,774.090270996,288.308044434,0.000000000,774.424743652,460.328582764,0.000000000,538.965637207,460.070953369,0.000000000,1.000139279,585237902.000000000,1752816947.000000000,-0.110987329,0.993503461,0.030903663,-0.110774850,0.000000000,0.031095716,-0.016940199
1752816947.637336,607576324.000000000,1752816947.000000000,539.102172852,288.300933838,0.000000000,774.090270996,288.308044434,0.000000000,774.424743652,460.328582764,0.000000000,538.965637207,460.070953369,0.000000000,1.000139279,607576324.000000000,1752816947.000000000,-0.111002544,0.993501082,0.030925928,-0.110789974,0.000000000,0.031118180,-0.016940199
1752816947.649338,618597505.000000000,1752816947.000000000,539.102172852,288.300933838,0.000000000,774.090270996,288.308044434,0.000000000,774.424743652,460.328582764,0.000000000,538.965637207,460.070953369,0.000000000,1.000139279,618597505.000000000,1752816947.000000000,-0.111012661,0.993499988,0.030925034,-0.110800030,0.000000000,0.031117315,-0.016940199
1752816947.667644,629658179.000000000,1752816947.000000000,539.102172852,288.300933838,0.000000000,774.090270996,288.308044434,0.000000000,774.424743652,460.328582764,0.000000000,538.965637207,460.070953369,0.000000000,1.000139279,629658179.000000000,1752816947.000000000,-0.111012661,0.993499988,0.030925034,-0.110800030,0.000000000,0.031117315,-0.016940199
1752816947.676750,640957575.000000000,1752816947.000000000,539.102172852,288.300933838,0.000000000,774.090270996,288.308044434,0.000000000,774.424743652,460.328582764,0.000000000,538.965637207,460.070953369,0.000000000,1.000139279,640957575.000000000,1752816947.000000000,-0.111037230,0.993496571,0.030947298,-0.110824451,0.000000000,0.031139810,-0.016940199
1752816947.688997,651927130.000000000,1752816947.000000000,539.102172852,288.300933838,0.000000000,774.090270996,288.308044434,0.000000000,774.424743652,460.328582764,0.000000000,538.965637207,460.070953369,0.000000000,1.000139279,651927130.000000000,1752816947.000000000,-0.111056782,0.993494382,0.030947991,-0.110843885,0.000000000,0.031140575,-0.016940199
1752816947.699315,663044600.000000000,1752816947.000000000,539.102172852,288.300933838,0.000000000,774.090270996,288.308044434,0.000000000,774.424743652,460.328582764,0.000000000,538.965637207,460.070953369,0.000000000,1.000139279,663044600.000000000,1752816947.000000000,-0.111056782,0.993494382,0.030947991,-0.110843885,0.000000000,0.031140575,-0.016940199
1752816948.032379,674234283.000000000,1752816947.000000000,539.102172852,288.300933838,0.000000000,774.090270996,288.308044434,0.000000000,774.424743652,460.328582764,0.000000000,538.965637207,460.070953369,0.000000000,1.000139279,674234283.000000000,1752816947.000000000,-0.111076482,0.993492210,0.030947568,-0.110863466,0.000000000,0.031140218,-0.016940199
1752816948.032436,696415970.000000000,1752816947.000000000,539.102172852,288.300933838,0.000000000,774.090270996,288.308044434,0.000000000,774.424743652,460.328582764,0.000000000,538.965637207,460.070953369,0.000000000,1.000139279,696415970.000000000,1752816947.000000000,-0.111092115,0.993490476,0.030947562,-0.110879005,0.000000000,0.031140267,-0.016940199
