__time,/pnp_solver/targets/header/stamp/nanosec,/pnp_solver/targets/header/stamp/sec,/pnp_solver/targets/targets[0]/corners[0]/x,/pnp_solver/targets/targets[0]/corners[0]/y,/pnp_solver/targets/targets[0]/corners[0]/z,/pnp_solver/targets/targets[0]/corners[1]/x,/pnp_solver/targets/targets[0]/corners[1]/y,/pnp_solver/targets/targets[0]/corners[1]/z,/pnp_solver/targets/targets[0]/corners[2]/x,/pnp_solver/targets/targets[0]/corners[2]/y,/pnp_solver/targets/targets[0]/corners[2]/z,/pnp_solver/targets/targets[0]/corners[3]/x,/pnp_solver/targets/targets[0]/corners[3]/y,/pnp_solver/targets/targets[0]/corners[3]/z,/pnp_solver/targets/targets[0]/distance,/pnp_solver/targets/targets[0]/header/stamp/nanosec,/pnp_solver/targets/targets[0]/header/stamp/sec,/pnp_solver/targets/targets[0]/pitch,/pnp_solver/targets/targets[0]/position/x,/pnp_solver/targets/targets[0]/position/y,/pnp_solver/targets/targets[0]/position/z,/pnp_solver/targets/targets[0]/yaw
1751358576.093054,92147688.000000000,1751358576.000000000,313.468475342,602.209960938,0.000000000,481.945983887,602.048828125,0.000000000,481.756805420,783.526062012,0.000000000,313.014404297,783.965454102,0.000000000,0.409460475,92147688.000000000,1751358576.000000000,-0.085943837,0.404587738,0.052247423,-0.035147138,0.128426682
1751358576.107657,106601004.000000000,1751358576.000000000,313.492828369,584.170715332,0.000000000,481.954010010,584.035583496,0.000000000,481.803710938,753.384277344,0.000000000,313.111480713,753.784362793,0.000000000,0.435881797,106601004.000000000,1751358576.000000000,-0.072857836,0.431141570,0.055691440,-0.031729181,0.128460727
1751358576.123502,122471065.000000000,1751358576.000000000,319.542175293,568.132934570,0.000000000,475.954681396,568.028381348,0.000000000,475.813842773,737.329589844,0.000000000,319.198486328,737.679504395,0.000000000,0.436914230,122471065.000000000,1751358576.000000000,-0.063864965,0.432373286,0.056287147,-0.027884430,0.129453810
1751358576.132549,131775751.000000000,1751358576.000000000,319.535858154,574.143981934,0.000000000,475.952484131,574.031799316,0.000000000,475.842956543,715.255249023,0.000000000,319.261779785,715.572509766,0.000000000,0.472272287,131775751.000000000,1751358576.000000000,-0.060105174,0.467506995,0.060595436,-0.028368810,0.128895368
1751358576.140738,139949894.000000000,1751358576.000000000,319.563964844,543.090393066,0.000000000,475.962066650,543.017028809,0.000000000,475.863006592,698.207214355,0.000000000,319.307281494,698.498535156,0.000000000,0.471002174,139949894.000000000,1751358576.000000000,-0.046329943,0.466545384,0.060835167,-0.021813614,0.129663381
1751358576.153594,152766448.000000000,1751358576.000000000,319.569366455,535.077819824,0.000000000,475.963867188,535.014099121,0.000000000,475.887817383,674.151733398,0.000000000,319.365966797,674.406188965,0.000000000,0.471593781,152766448.000000000,1751358576.000000000,-0.037985459,0.467275889,0.061086018,-0.017909331,0.129990788
1751358576.162230,161356077.000000000,1751358576.000000000,319.577056885,521.056762695,0.000000000,475.966400146,521.009704590,0.000000000,475.902160645,658.121826172,0.000000000,319.401336670,658.351989746,0.000000000,0.471390354,161356077.000000000,1751358576.000000000,-0.029702353,0.467181176,0.061261373,-0.013999291,0.130385864
1751358576.173107,172284902.000000000,1751358576.000000000,319.582794189,506.035186768,0.000000000,475.968261719,506.005676270,0.000000000,475.916351318,640.094055176,0.000000000,319.437438965,640.297363281,0.000000000,0.471195598,172284902.000000000,1751358576.000000000,-0.020582014,0.467067457,0.061462005,-0.009697434,0.130839520
1751358576.184547,183963136.000000000,1751358576.000000000,319.585510254,494.018402100,0.000000000,475.969116211,494.002807617,0.000000000,475.919921875,635.087280273,0.000000000,319.446746826,635.283325195,0.000000000,0.471086855,183963136.000000000,1751358576.000000000,-0.015749069,0.466984785,0.061573863,-0.007418845,0.131097865
1751358576.205032,204055295.000000000,1751358576.000000000,319.586212158,471.988067627,0.000000000,475.969268799,471.997802734,0.000000000,475.943481445,595.046081543,0.000000000,319.510284424,595.186035156,0.000000000,0.470852545,204055295.000000000,1751358576.000000000,0.001267186,0.466757082,0.061951281,0.000596655,0.131955773
