__time,/pnp_solver/targets/header/stamp/nanosec,/pnp_solver/targets/header/stamp/sec,/pnp_solver/targets/targets[0]/corners[0]/x,/pnp_solver/targets/targets[0]/corners[0]/y,/pnp_solver/targets/targets[0]/corners[0]/z,/pnp_solver/targets/targets[0]/corners[1]/x,/pnp_solver/targets/targets[0]/corners[1]/y,/pnp_solver/targets/targets[0]/corners[1]/z,/pnp_solver/targets/targets[0]/corners[2]/x,/pnp_solver/targets/targets[0]/corners[2]/y,/pnp_solver/targets/targets[0]/corners[2]/z,/pnp_solver/targets/targets[0]/corners[3]/x,/pnp_solver/targets/targets[0]/corners[3]/y,/pnp_solver/targets/targets[0]/corners[3]/z,/pnp_solver/targets/targets[0]/distance,/pnp_solver/targets/targets[0]/header/stamp/nanosec,/pnp_solver/targets/targets[0]/header/stamp/sec,/pnp_solver/targets/targets[0]/pitch,/pnp_solver/targets/targets[0]/position/x,/pnp_solver/targets/targets[0]/position/y,/pnp_solver/targets/targets[0]/position/z,/pnp_solver/targets/targets[0]/yaw
1751360373.854855,853933999.000000000,1751360373.000000000,1056.477172852,604.424438477,0.000000000,1216.901000977,604.603149414,0.000000000,1216.508911133,751.125488281,0.000000000,1056.866821289,751.167663574,0.000000000,0.488680095,853933999.000000000,1751360373.000000000,-0.057509932,0.469369053,-0.133079482,-0.028088362,-0.276277632
1751360373.862031,861031960.000000000,1751360373.000000000,1032.216918945,589.325317383,0.000000000,1201.850830078,589.535766602,0.000000000,1201.671508789,734.159362793,0.000000000,1032.591430664,733.988464355,0.000000000,0.459849491,861031960.000000000,1751360373.000000000,-0.049824250,0.443161183,-0.120596469,-0.022902085,-0.265693974
1751360373.875658,874771241.000000000,1751360373.000000000,1028.156738281,574.269165039,0.000000000,1185.745361328,574.458435059,0.000000000,1185.724121094,716.134277344,0.000000000,1028.496582031,715.872070313,0.000000000,0.492851087,874771241.000000000,1751360373.000000000,-0.041033025,0.475858890,-0.126688398,-0.020217421,-0.260195625
1751360373.886151,885203846.000000000,1751360373.000000000,1014.012756348,558.202392578,0.000000000,1180.698730469,558.377319336,0.000000000,1180.728759766,700.070007324,0.000000000,1014.319946289,699.742553711,0.000000000,0.464597254,885203846.000000000,1751360373.000000000,-0.032853213,0.449353323,-0.117036784,-0.015260707,-0.254795169
1751360373.960108,958483945.000000000,1751360373.000000000,974.679504395,506.049804688,0.000000000,1138.252441406,506.113220215,0.000000000,1138.368041992,624.663940430,0.000000000,974.815307617,624.334533691,0.000000000,0.467256715,958483945.000000000,1751360373.000000000,0.000471759,0.454744545,-0.107398892,0.000220432,-0.231924340
1751360373.981327,980285318.000000000,1751360373.000000000,970.650329590,495.027557373,0.000000000,1123.080566406,495.061798096,0.000000000,1123.207641602,620.620422363,0.000000000,970.779724121,620.314575195,0.000000000,0.500088366,980285318.000000000,1751360373.000000000,0.004563279,0.487281251,-0.112420509,0.002282027,-0.226742322
1751360373.992147,991079741.000000000,1751360373.000000000,970.649047852,474.990051270,0.000000000,1123.079345703,474.978057861,0.000000000,1123.186523438,607.557373047,0.000000000,970.756408691,607.276733398,0.000000000,0.499911785,991079741.000000000,1751360373.000000000,0.013689275,0.487107443,-0.112203121,0.006843192,-0.226396725
1751360374.001302,594462.000000000,1751360374.000000000,956.563110352,476.994354248,0.000000000,1117.010864258,476.986755371,0.000000000,1117.095458984,590.468383789,0.000000000,956.639343262,590.210815430,0.000000000,0.473715458,594462.000000000,1751360374.000000000,0.017327702,0.462141752,-0.103741511,0.008207959,-0.220819300
1751360374.014699,13785801.000000000,1751360374.000000000,956.566406250,456.960266113,0.000000000,1117.014892578,456.904632568,0.000000000,1117.077270508,577.409362793,0.000000000,956.622192383,577.180847168,0.000000000,0.473608075,13785801.000000000,1751360374.000000000,0.026399138,0.461981065,-0.103538259,0.012501347,-0.220474757
1751360374.022758,21983796.000000000,1751360374.000000000,952.549011230,441.935974121,0.000000000,1101.852050781,441.851196289,0.000000000,1101.889038086,560.316650391,0.000000000,952.579528809,560.140441895,0.000000000,0.507730554,21983796.000000000,1751360374.000000000,0.035132097,0.495727484,-0.108280994,0.017833909,-0.215050829
