__time,/pnp_solver/targets/header/stamp/nanosec,/pnp_solver/targets/header/stamp/sec,/pnp_solver/targets/targets[0]/corners[0]/x,/pnp_solver/targets/targets[0]/corners[0]/y,/pnp_solver/targets/targets[0]/corners[0]/z,/pnp_solver/targets/targets[0]/corners[1]/x,/pnp_solver/targets/targets[0]/corners[1]/y,/pnp_solver/targets/targets[0]/corners[1]/z,/pnp_solver/targets/targets[0]/corners[2]/x,/pnp_solver/targets/targets[0]/corners[2]/y,/pnp_solver/targets/targets[0]/corners[2]/z,/pnp_solver/targets/targets[0]/corners[3]/x,/pnp_solver/targets/targets[0]/corners[3]/y,/pnp_solver/targets/targets[0]/corners[3]/z,/pnp_solver/targets/targets[0]/distance,/pnp_solver/targets/targets[0]/header/stamp/nanosec,/pnp_solver/targets/targets[0]/header/stamp/sec,/pnp_solver/targets/targets[0]/pitch,/pnp_solver/targets/targets[0]/position/x,/pnp_solver/targets/targets[0]/position/y,/pnp_solver/targets/targets[0]/position/z,/pnp_solver/targets/targets[0]/yaw
1751349444.750018,749136020.000000000,1751349444.000000000,400.181152344,891.510437012,0.000000000,554.801391602,891.192565918,0.000000000,554.694091797,1024.475219727,0.000000000,400.015838623,1024.439331055,0.000000000,0.487691256,749136020.000000000,1751349444.000000000,-0.217650770,0.472436025,0.059621919,-0.105309853,0.125537385
1751349444.759501,758742382.000000000,1751349444.000000000,394.207427979,871.353881836,0.000000000,559.836486816,871.010742188,0.000000000,559.720397949,1011.369934082,0.000000000,393.976623535,1011.402526855,0.000000000,0.454238789,758742382.000000000,1751349444.000000000,-0.209147934,0.440764898,0.056237288,-0.094311571,0.126904542
1751349444.767058,766286843.000000000,1751349444.000000000,394.302703857,839.093627930,0.000000000,559.866699219,838.761291504,0.000000000,559.727722168,995.224609375,0.000000000,393.969329834,995.337890625,0.000000000,0.452617947,766286843.000000000,1751349444.000000000,-0.196250567,0.440261591,0.056934839,-0.088257045,0.128606717
1751349444.778218,777280398.000000000,1751349444.000000000,418.456420898,823.913635254,0.000000000,574.910522461,823.647705078,0.000000000,574.801391602,978.047302246,0.000000000,418.091918945,978.216918945,0.000000000,0.476862890,777280398.000000000,1751349444.000000000,-0.186415512,0.465285105,0.055632387,-0.088380296,0.119001293
1751349444.792679,791824629.000000000,1751349444.000000000,418.493591309,809.816894531,0.000000000,574.919555664,809.561584473,0.000000000,574.810791016,961.880737305,0.000000000,418.113433838,962.090515137,0.000000000,0.476208271,791824629.000000000,1751349444.000000000,-0.178512972,0.465268647,0.056101483,-0.084558215,0.119999360
1751349444.800862,800156842.000000000,1751349444.000000000,412.507995605,794.736267090,0.000000000,580.938293457,794.475036621,0.000000000,580.845092773,943.687561035,0.000000000,412.115631104,943.947082520,0.000000000,0.441680545,800156842.000000000,1751349444.000000000,-0.170087746,0.432120774,0.052556043,-0.074762407,0.121029075
1751349444.810927,810095006.000000000,1751349444.000000000,418.578582764,775.610778809,0.000000000,595.967712402,775.376892090,0.000000000,595.912109375,915.391845703,0.000000000,418.209625244,915.679870605,0.000000000,0.417978798,810095006.000000000,1751349444.000000000,-0.157117935,0.410017034,0.048096117,-0.065401788,0.116769101
1751349444.823077,822389473.000000000,1751349444.000000000,438.679504395,760.490173340,0.000000000,594.970947266,760.314453125,0.000000000,594.916625977,898.227111816,0.000000000,438.349121094,898.472595215,0.000000000,0.473178896,822389473.000000000,1751349444.000000000,-0.147556005,0.465067979,0.052617340,-0.069567006,0.112659961
1751349444.834881,834295516.000000000,1751349444.000000000,438.708679199,745.422302246,0.000000000,594.975097656,745.259582520,0.000000000,594.924926758,880.063049316,0.000000000,438.394897461,880.309936523,0.000000000,0.472476520,834295516.000000000,1751349444.000000000,-0.138685842,0.464912697,0.053124692,-0.065315680,0.113774624
1751349444.845696,844941806.000000000,1751349444.000000000,452.772216797,730.338317871,0.000000000,600.984008789,730.210815430,0.000000000,600.947204590,862.917358398,0.000000000,452.497131348,863.128417969,0.000000000,0.497015850,844941806.000000000,1751349444.000000000,-0.129280455,0.489922141,0.053790697,-0.064075345,0.109356358
