__time,/pnp_solver/targets/header/stamp/nanosec,/pnp_solver/targets/header/stamp/sec,/pnp_solver/targets/targets[0]/corners[0]/x,/pnp_solver/targets/targets[0]/corners[0]/y,/pnp_solver/targets/targets[0]/corners[0]/z,/pnp_solver/targets/targets[0]/corners[1]/x,/pnp_solver/targets/targets[0]/corners[1]/y,/pnp_solver/targets/targets[0]/corners[1]/z,/pnp_solver/targets/targets[0]/corners[2]/x,/pnp_solver/targets/targets[0]/corners[2]/y,/pnp_solver/targets/targets[0]/corners[2]/z,/pnp_solver/targets/targets[0]/corners[3]/x,/pnp_solver/targets/targets[0]/corners[3]/y,/pnp_solver/targets/targets[0]/corners[3]/z,/pnp_solver/targets/targets[0]/distance,/pnp_solver/targets/targets[0]/header/stamp/nanosec,/pnp_solver/targets/targets[0]/header/stamp/sec,/pnp_solver/targets/targets[0]/pitch,/pnp_solver/targets/targets[0]/position/x,/pnp_solver/targets/targets[0]/position/y,/pnp_solver/targets/targets[0]/position/z,/pnp_solver/targets/targets[0]/yaw
1751351832.659720,658845946.000000000,1751351832.000000000,336.524658203,319.731689453,0.000000000,417.812011719,319.849914551,0.000000000,417.865844727,379.932220459,0.000000000,336.610107422,379.861663818,0.000000000,0.910910516,658845946.000000000,1751351832.000000000,0.103823787,0.895943481,0.134641297,0.094404202,0.149162586
1751351832.670824,670025211.000000000,1751351832.000000000,332.474548340,303.678741455,0.000000000,401.748992920,303.796783447,0.000000000,401.830383301,379.920928955,0.000000000,332.591918945,379.857299805,0.000000000,0.970994269,670025211.000000000,1751351832.000000000,0.107624695,0.953786573,0.149128556,0.104301170,0.155098476
1751351832.680719,679812613.000000000,1751351832.000000000,318.392883301,300.640380859,0.000000000,396.729553223,300.782531738,0.000000000,396.808105469,367.902404785,0.000000000,318.508575439,367.816986084,0.000000000,0.948857585,679812613.000000000,1751351832.000000000,0.111653417,0.930842492,0.150607819,0.105723036,0.160407225
1751351832.690316,689416324.000000000,1751351832.000000000,318.392883301,300.640380859,0.000000000,396.729553223,300.782531738,0.000000000,396.808105469,367.902404785,0.000000000,318.508575439,367.816986084,0.000000000,0.948857585,689416324.000000000,1751351832.000000000,0.111674561,0.930840327,0.150607203,0.105742973,0.160406946
1751351832.702820,701912175.000000000,1751351832.000000000,314.376434326,303.641571045,0.000000000,380.681213379,303.765136719,0.000000000,380.758758545,363.881896973,0.000000000,314.481964111,363.802917480,0.000000000,1.122873285,701912175.000000000,1751351832.000000000,0.111523659,1.100566162,0.184331983,0.124967343,0.165948022
1751351832.712696,711967604.000000000,1751351832.000000000,314.376434326,303.641571045,0.000000000,380.681213379,303.765136719,0.000000000,380.758758545,363.881896973,0.000000000,314.481964111,363.802917480,0.000000000,1.122873285,711967604.000000000,1751351832.000000000,0.111523659,1.100566162,0.184331983,0.124967343,0.165948022
1751351832.722124,721572693.000000000,1751351832.000000000,294.253479004,303.597595215,0.000000000,381.684722900,303.766723633,0.000000000,381.761840820,363.882904053,0.000000000,294.366271973,363.774078369,0.000000000,0.853177424,721572693.000000000,1751351832.000000000,0.111350727,0.835502967,0.144415443,0.094805558,0.171157349
1751351832.738184,737449193.000000000,1751351832.000000000,294.246612549,300.587036133,0.000000000,381.679931641,300.759216309,0.000000000,381.765716553,367.888702393,0.000000000,294.372131348,367.783813477,0.000000000,0.853133525,737449193.000000000,1751351832.000000000,0.111078527,0.835487098,0.144402423,0.094569892,0.171145404
1751351832.755170,754374004.000000000,1751351832.000000000,294.246612549,300.587036133,0.000000000,381.679931641,300.759216309,0.000000000,381.765716553,367.888702393,0.000000000,294.372131348,367.783813477,0.000000000,0.853133525,754374004.000000000,1751351832.000000000,0.111097909,0.835481606,0.144423436,0.094586325,0.171170928
1751351832.764164,763218793.000000000,1751351832.000000000,294.253479004,303.597595215,0.000000000,381.684722900,303.766723633,0.000000000,381.776519775,379.905029297,0.000000000,294.388488770,379.811828613,0.000000000,0.852829462,763218793.000000000,1751351832.000000000,0.106935637,0.835596981,0.144249099,0.091023986,0.170945160
