__time,/pnp_solver/targets/header/stamp/nanosec,/pnp_solver/targets/header/stamp/sec,/pnp_solver/targets/targets[0]/corners[0]/x,/pnp_solver/targets/targets[0]/corners[0]/y,/pnp_solver/targets/targets[0]/corners[0]/z,/pnp_solver/targets/targets[0]/corners[1]/x,/pnp_solver/targets/targets[0]/corners[1]/y,/pnp_solver/targets/targets[0]/corners[1]/z,/pnp_solver/targets/targets[0]/corners[2]/x,/pnp_solver/targets/targets[0]/corners[2]/y,/pnp_solver/targets/targets[0]/corners[2]/z,/pnp_solver/targets/targets[0]/corners[3]/x,/pnp_solver/targets/targets[0]/corners[3]/y,/pnp_solver/targets/targets[0]/corners[3]/z,/pnp_solver/targets/targets[0]/distance,/pnp_solver/targets/targets[0]/header/stamp/nanosec,/pnp_solver/targets/targets[0]/header/stamp/sec,/pnp_solver/targets/targets[0]/pitch,/pnp_solver/targets/targets[0]/position/x,/pnp_solver/targets/targets[0]/position/y,/pnp_solver/targets/targets[0]/position/z,/pnp_solver/targets/targets[0]/yaw
1751346425.400429,399514004.000000000,1751346425.000000000,635.009216309,694.122375488,0.000000000,739.092834473,694.167358398,0.000000000,739.169799805,770.420654297,0.000000000,635.016723633,770.351501465,0.000000000,0.253576945,399514004.000000000,1751346425.000000000,-0.101172841,0.252130078,-0.008647283,-0.025611159,-0.034283473
1751346425.420461,419758458.000000000,1751346425.000000000,635.009216309,694.122375488,0.000000000,739.092834473,694.167358398,0.000000000,739.169799805,770.420654297,0.000000000,635.016723633,770.351501465,0.000000000,0.253576945,419758458.000000000,1751346425.000000000,-0.101161893,0.252130143,-0.008653569,-0.025608397,-0.034308366
1751346425.443010,442159811.000000000,1751346425.000000000,635.009216309,694.122375488,0.000000000,739.092834473,694.167358398,0.000000000,739.169799805,770.420654297,0.000000000,635.016723633,770.351501465,0.000000000,0.253576945,442159811.000000000,1751346425.000000000,-0.101179252,0.252129703,-0.008653420,-0.025612776,-0.034307835
1751346425.451575,450663451.000000000,1751346425.000000000,635.009216309,694.122375488,0.000000000,739.092834473,694.167358398,0.000000000,739.169799805,770.420654297,0.000000000,635.016723633,770.351501465,0.000000000,0.253576945,450663451.000000000,1751346425.000000000,-0.101193092,0.252129345,-0.008653527,-0.025616268,-0.034308310
1751346425.465532,464700557.000000000,1751346425.000000000,635.009216309,694.122375488,0.000000000,739.092834473,694.167358398,0.000000000,739.169799805,770.420654297,0.000000000,635.016723633,770.351501465,0.000000000,0.253576945,464700557.000000000,1751346425.000000000,-0.101204160,0.252129073,-0.008653182,-0.025619060,-0.034306981
1751346425.474704,473772189.000000000,1751346425.000000000,635.009216309,694.122375488,0.000000000,739.092834473,694.167358398,0.000000000,739.169799805,770.420654297,0.000000000,635.016723633,770.351501465,0.000000000,0.253576945,473772189.000000000,1751346425.000000000,-0.101204160,0.252129073,-0.008653182,-0.025619060,-0.034306981
1751346425.484715,483875642.000000000,1751346425.000000000,635.009216309,694.122375488,0.000000000,739.092834473,694.167358398,0.000000000,739.169799805,770.420654297,0.000000000,635.016723633,770.351501465,0.000000000,0.253576945,483875642.000000000,1751346425.000000000,-0.101189631,0.252129239,-0.008659170,-0.025615395,-0.034330679
1751346425.494193,493198664.000000000,1751346425.000000000,635.009216309,694.122375488,0.000000000,739.092834473,694.167358398,0.000000000,739.169799805,770.420654297,0.000000000,635.016723633,770.351501465,0.000000000,0.253576945,493198664.000000000,1751346425.000000000,-0.101189631,0.252129239,-0.008659170,-0.025615395,-0.034330679
1751346425.503123,502402009.000000000,1751346425.000000000,635.009216309,694.122375488,0.000000000,739.092834473,694.167358398,0.000000000,739.169799805,770.420654297,0.000000000,635.016723633,770.351501465,0.000000000,0.253576945,502402009.000000000,1751346425.000000000,-0.101198297,0.252129020,-0.008659090,-0.025617581,-0.034330390
1751346425.513044,512361213.000000000,1751346425.000000000,635.009216309,694.122375488,0.000000000,739.092834473,694.167358398,0.000000000,739.169799805,770.420654297,0.000000000,635.016723633,770.351501465,0.000000000,0.253576945,512361213.000000000,1751346425.000000000,-0.101198297,0.252129020,-0.008659090,-0.025617581,-0.034330390
1751346425.530618,529894524.000000000,1751346425.000000000,635.009216309,694.122375488,0.000000000,739.092834473,694.167358398,0.000000000,739.169799805,770.420654297,0.000000000,635.016723633,770.351501465,0.000000000,0.253576945,529894524.000000000,1751346425.000000000,-0.101223868,0.252128361,-0.008659194,-0.025624032,-0.034330893
1751346425.548594,547885351.000000000,1751346425.000000000,635.009216309,694.122375488,0.000000000,739.092834473,694.167358398,0.000000000,739.169799805,770.420654297,0.000000000,635.016723633,770.351501465,0.000000000,0.253576945,547885351.000000000,1751346425.000000000,-0.101228848,0.252128254,-0.008658591,-0.025625288,-0.034328518
1751346425.555641,554776336.000000000,1751346425.000000000,635.009216309,694.122375488,0.000000000,739.092834473,694.167358398,0.000000000,739.169799805,770.420654297,0.000000000,635.016723633,770.351501465,0.000000000,0.253576945,554776336.000000000,1751346425.000000000,-0.101228848,0.252128254,-0.008658591,-0.025625288,-0.034328518
