__time,/predictor/armor_predictions/header/stamp/nanosec,/predictor/armor_predictions/header/stamp/sec,/predictor/armor_predictions/predictions[0]/armor_id,/predictor/armor_predictions/predictions[0]/distance,/predictor/armor_predictions/predictions[0]/pitch,/predictor/armor_predictions/predictions[0]/position/x,/predictor/armor_predictions/predictions[0]/position/y,/predictor/armor_predictions/predictions[0]/position/z,/predictor/armor_predictions/predictions[0]/velocity/x,/predictor/armor_predictions/predictions[0]/velocity/y,/predictor/armor_predictions/predictions[0]/velocity/z,/predictor/armor_predictions/predictions[0]/yaw,/predictor/armor_predictions/predictions[1]/armor_id,/predictor/armor_predictions/predictions[1]/distance,/predictor/armor_predictions/predictions[1]/pitch,/predictor/armor_predictions/predictions[1]/position/x,/predictor/armor_predictions/predictions[1]/position/y,/predictor/armor_predictions/predictions[1]/position/z,/predictor/armor_predictions/predictions[1]/velocity/x,/predictor/armor_predictions/predictions[1]/velocity/y,/predictor/armor_predictions/predictions[1]/velocity/z,/predictor/armor_predictions/predictions[1]/yaw
1751349424.534117,533400480.000000000,1751349424.000000000,-1.000000000,0.341141208,-0.125431896,0.338372886,-0.007727407,-0.042677873,0.000001842,-0.000006792,0.000014352,-0.022832989,4.000000000,0.509668560,-0.076029357,0.508157903,-0.006239620,-0.038712452,-0.003776129,-0.007117716,-0.006188599,-0.012278284
1751349424.583875,583372888.000000000,1751349424.000000000,-1.000000000,0.341141208,-0.125431896,0.338372886,-0.007727407,-0.042677873,0.000001842,-0.000006792,0.000014352,-0.022832989,4.000000000,0.509668560,-0.076029357,0.508157903,-0.006239620,-0.038712452,-0.003776129,-0.007117716,-0.006188599,-0.012278284
1751349424.633784,633358870.000000000,1751349424.000000000,-1.000000000,0.341141208,-0.125431896,0.338372886,-0.007727407,-0.042677873,0.000001842,-0.000006792,0.000014352,-0.022832989,4.000000000,0.509668560,-0.076029357,0.508157903,-0.006239620,-0.038712452,-0.003776129,-0.007117716,-0.006188599,-0.012278284
1751349424.683861,683427266.000000000,1751349424.000000000,-1.000000000,0.341141208,-0.125431896,0.338372886,-0.007727407,-0.042677873,0.000001842,-0.000006792,0.000014352,-0.022832989,4.000000000,0.509668560,-0.076029357,0.508157903,-0.006239620,-0.038712452,-0.003776129,-0.007117716,-0.006188599,-0.012278284
1751349424.733751,733327536.000000000,1751349424.000000000,-1.000000000,0.341141208,-0.125431896,0.338372886,-0.007727407,-0.042677873,0.000001842,-0.000006792,0.000014352,-0.022832989,4.000000000,0.509668560,-0.076029357,0.508157903,-0.006239620,-0.038712452,-0.003776129,-0.007117716,-0.006188599,-0.012278284
1751349424.783761,783334150.000000000,1751349424.000000000,-1.000000000,0.341141208,-0.125431896,0.338372886,-0.007727407,-0.042677873,0.000001842,-0.000006792,0.000014352,-0.022832989,4.000000000,0.509668560,-0.076029357,0.508157903,-0.006239620,-0.038712452,-0.003776129,-0.007117716,-0.006188599,-0.012278284
1751349424.833695,833328256.000000000,1751349424.000000000,-1.000000000,0.341141208,-0.125431896,0.338372886,-0.007727407,-0.042677873,0.000001842,-0.000006792,0.000014352,-0.022832989,4.000000000,0.509668560,-0.076029357,0.508157903,-0.006239620,-0.038712452,-0.003776129,-0.007117716,-0.006188599,-0.012278284
1751349424.883847,883355805.000000000,1751349424.000000000,-1.000000000,0.341141208,-0.125431896,0.338372886,-0.007727407,-0.042677873,0.000001842,-0.000006792,0.000014352,-0.022832989,4.000000000,0.509668560,-0.076029357,0.508157903,-0.006239620,-0.038712452,-0.003776129,-0.007117716,-0.006188599,-0.012278284
1751349424.933774,933373442.000000000,1751349424.000000000,-1.000000000,0.341141208,-0.125431896,0.338372886,-0.007727407,-0.042677873,0.000001842,-0.000006792,0.000014352,-0.022832989,4.000000000,0.509668560,-0.076029357,0.508157903,-0.006239620,-0.038712452,-0.003776129,-0.007117716,-0.006188599,-0.012278284
1751349424.983814,983365463.000000000,1751349424.000000000,-1.000000000,0.341141208,-0.125431896,0.338372886,-0.007727407,-0.042677873,0.000001842,-0.000006792,0.000014352,-0.022832989,4.000000000,0.509668560,-0.076029357,0.508157903,-0.006239620,-0.038712452,-0.003776129,-0.007117716,-0.006188599,-0.012278284
1751349425.033719,33341873.000000000,1751349425.000000000,-1.000000000,0.341141208,-0.125431896,0.338372886,-0.007727407,-0.042677873,0.000001842,-0.000006792,0.000014352,-0.022832989,4.000000000,0.509668560,-0.076029357,0.508157903,-0.006239620,-0.038712452,-0.003776129,-0.007117716,-0.006188599,-0.012278284
