__time,/predictor/armor_predictions/header/stamp/nanosec,/predictor/armor_predictions/header/stamp/sec,/predictor/armor_predictions/predictions[0]/armor_id,/predictor/armor_predictions/predictions[0]/distance,/predictor/armor_predictions/predictions[0]/pitch,/predictor/armor_predictions/predictions[0]/position/x,/predictor/armor_predictions/predictions[0]/position/y,/predictor/armor_predictions/predictions[0]/position/z,/predictor/armor_predictions/predictions[0]/velocity/x,/predictor/armor_predictions/predictions[0]/velocity/y,/predictor/armor_predictions/predictions[0]/velocity/z,/predictor/armor_predictions/predictions[0]/yaw,/predictor/armor_predictions/predictions[1]/armor_id,/predictor/armor_predictions/predictions[1]/distance,/predictor/armor_predictions/predictions[1]/pitch,/predictor/armor_predictions/predictions[1]/position/x,/predictor/armor_predictions/predictions[1]/position/y,/predictor/armor_predictions/predictions[1]/position/z,/predictor/armor_predictions/predictions[1]/velocity/x,/predictor/armor_predictions/predictions[1]/velocity/y,/predictor/armor_predictions/predictions[1]/velocity/z,/predictor/armor_predictions/predictions[1]/yaw
1751357945.966200,965880254.000000000,1751357945.000000000,4.000000000,0.375841807,-0.144006571,0.355865522,-0.108201728,-0.053936815,-0.023620331,-0.028138331,-0.045553718,-0.295170336,,,,,,,,,,
1751357946.016119,15857625.000000000,1751357946.000000000,4.000000000,0.375841807,-0.144006571,0.355865522,-0.108201728,-0.053936815,-0.023620331,-0.028138331,-0.045553718,-0.295170336,,,,,,,,,,
1751357946.066183,65864072.000000000,1751357946.000000000,4.000000000,0.375841807,-0.144006571,0.355865522,-0.108201728,-0.053936815,-0.023620331,-0.028138331,-0.045553718,-0.295170336,,,,,,,,,,
1751357946.116289,115891241.000000000,1751357946.000000000,4.000000000,0.375841807,-0.144006571,0.355865522,-0.108201728,-0.053936815,-0.023620331,-0.028138331,-0.045553718,-0.295170336,,,,,,,,,,
1751357946.166183,165877699.000000000,1751357946.000000000,4.000000000,0.375841807,-0.144006571,0.355865522,-0.108201728,-0.053936815,-0.023620331,-0.028138331,-0.045553718,-0.295170336,,,,,,,,,,
1751357946.216207,215878520.000000000,1751357946.000000000,4.000000000,0.375841807,-0.144006571,0.355865522,-0.108201728,-0.053936815,-0.023620331,-0.028138331,-0.045553718,-0.295170336,,,,,,,,,,
1751357946.266331,265898723.000000000,1751357946.000000000,4.000000000,0.375841807,-0.144006571,0.355865522,-0.108201728,-0.053936815,-0.023620331,-0.028138331,-0.045553718,-0.295170336,,,,,,,,,,
1751357946.316306,315882593.000000000,1751357946.000000000,4.000000000,0.375841807,-0.144006571,0.355865522,-0.108201728,-0.053936815,-0.023620331,-0.028138331,-0.045553718,-0.295170336,,,,,,,,,,
1751357946.366132,365868644.000000000,1751357946.000000000,4.000000000,0.375841807,-0.144006571,0.355865522,-0.108201728,-0.053936815,-0.023620331,-0.028138331,-0.045553718,-0.295170336,,,,,,,,,,
1751357946.416329,415955007.000000000,1751357946.000000000,4.000000000,0.375841807,-0.144006571,0.355865522,-0.108201728,-0.053936815,-0.023620331,-0.028138331,-0.045553718,-0.295170336,,,,,,,,,,
1751357946.466188,465873808.000000000,1751357946.000000000,4.000000000,0.375841807,-0.144006571,0.355865522,-0.108201728,-0.053936815,-0.023620331,-0.028138331,-0.045553718,-0.295170336,,,,,,,,,,
1751357946.516312,515885181.000000000,1751357946.000000000,4.000000000,0.375841807,-0.144006571,0.355865522,-0.108201728,-0.053936815,-0.023620331,-0.028138331,-0.045553718,-0.295170336,,,,,,,,,,
1751357946.566176,565870449.000000000,1751357946.000000000,4.000000000,0.375841807,-0.144006571,0.355865522,-0.108201728,-0.053936815,-0.023620331,-0.028138331,-0.045553718,-0.295170336,,,,,,,,,,
1751357946.616425,615872082.000000000,1751357946.000000000,4.000000000,0.375841807,-0.144006571,0.355865522,-0.108201728,-0.053936815,-0.023620331,-0.028138331,-0.045553718,-0.295170336,,,,,,,,,,
1751357946.666291,665900084.000000000,1751357946.000000000,4.000000000,0.375841807,-0.144006571,0.355865522,-0.108201728,-0.053936815,-0.023620331,-0.028138331,-0.045553718,-0.295170336,,,,,,,,,,
1751357946.716372,715899941.000000000,1751357946.000000000,4.000000000,0.375841807,-0.144006571,0.355865522,-0.108201728,-0.053936815,-0.023620331,-0.028138331,-0.045553718,-0.295170336,,,,,,,,,,
1751357946.766167,765881596.000000000,1751357946.000000000,4.000000000,0.375841807,-0.144006571,0.355865522,-0.108201728,-0.053936815,-0.023620331,-0.028138331,-0.045553718,-0.295170336,,,,,,,,,,
1751357946.816206,815881004.000000000,1751357946.000000000,4.000000000,0.375841807,-0.144006571,0.355865522,-0.108201728,-0.053936815,-0.023620331,-0.028138331,-0.045553718,-0.295170336,,,,,,,,,,
1751357946.866252,865883136.000000000,1751357946.000000000,4.000000000,0.375841807,-0.144006571,0.355865522,-0.108201728,-0.053936815,-0.023620331,-0.028138331,-0.045553718,-0.295170336,,,,,,,,,,
1751357946.916254,915880425.000000000,1751357946.000000000,4.000000000,0.375841807,-0.144006571,0.355865522,-0.108201728,-0.053936815,-0.023620331,-0.028138331,-0.045553718,-0.295170336,,,,,,,,,,
1751357946.966208,965882525.000000000,1751357946.000000000,4.000000000,0.375841807,-0.144006571,0.355865522,-0.108201728,-0.053936815,-0.023620331,-0.028138331,-0.045553718,-0.295170336,,,,,,,,,,
1751357947.016257,15896191.000000000,1751357947.000000000,4.000000000,0.375841807,-0.144006571,0.355865522,-0.108201728,-0.053936815,-0.023620331,-0.028138331,-0.045553718,-0.295170336,,,,,,,,,,
1751357947.066202,65872918.000000000,1751357947.000000000,4.000000000,0.375841807,-0.144006571,0.355865522,-0.108201728,-0.053936815,-0.023620331,-0.028138331,-0.045553718,-0.295170336,,,,,,,,,,
