__time,/predictor/armor_predictions/header/stamp/nanosec,/predictor/armor_predictions/header/stamp/sec,/predictor/armor_predictions/predictions[0]/armor_id,/predictor/armor_predictions/predictions[0]/distance,/predictor/armor_predictions/predictions[0]/pitch,/predictor/armor_predictions/predictions[0]/position/x,/predictor/armor_predictions/predictions[0]/position/y,/predictor/armor_predictions/predictions[0]/position/z,/predictor/armor_predictions/predictions[0]/velocity/x,/predictor/armor_predictions/predictions[0]/velocity/y,/predictor/armor_predictions/predictions[0]/velocity/z,/predictor/armor_predictions/predictions[0]/yaw
1751346425.470803,470521589.000000000,1751346425.000000000,4.000000000,0.253986212,-0.104458749,0.252426428,-0.009410236,-0.026482859,0.002438269,-0.001800971,-0.000480013,-0.037261870
1751346425.520828,520519393.000000000,1751346425.000000000,4.000000000,0.254086552,-0.104026323,0.252538771,-0.009382294,-0.026384044,0.002446322,-0.001677681,-0.000361095,-0.037134818
1751346425.570825,570495860.000000000,1751346425.000000000,4.000000000,0.254200759,-0.103721588,0.252660414,-0.009383973,-0.026318857,0.002448418,-0.001579822,-0.000278142,-0.037123591
1751346425.620866,620523974.000000000,1751346425.000000000,4.000000000,0.254293166,-0.103440681,0.252760201,-0.009372607,-0.026257374,0.002447174,-0.001484362,-0.000205226,-0.037064041
1751346425.670804,670522597.000000000,1751346425.000000000,4.000000000,0.254369926,-0.103242245,0.252841967,-0.009368458,-0.026215093,0.002444229,-0.001413594,-0.000155910,-0.037035682
1751346425.721068,720546123.000000000,1751346425.000000000,4.000000000,0.254463287,-0.102992566,0.252941899,-0.009356005,-0.026161518,0.002437627,-0.001318099,-0.000096172,-0.036971896
1751346425.770993,770545063.000000000,1751346425.000000000,4.000000000,0.254527932,-0.102819161,0.253011265,-0.009342981,-0.026124262,0.002430703,-0.001246565,-0.000056425,-0.036910363
1751346425.820989,820537341.000000000,1751346425.000000000,4.000000000,0.254656340,-0.102726761,0.253139778,-0.009389431,-0.026114035,0.002427523,-0.001218480,-0.000043371,-0.037074887
1751346425.871212,870564280.000000000,1751346425.000000000,4.000000000,0.254683820,-0.102667200,0.253168863,-0.009384733,-0.026101764,0.002424108,-0.001190524,-0.000030845,-0.037052100
1751346425.920763,920524019.000000000,1751346425.000000000,4.000000000,0.254856516,-0.102410853,0.253347444,-0.009385129,-0.026054474,0.002406128,-0.001067222,0.000015269,-0.037027566
1751346425.970816,970519649.000000000,1751346425.000000000,4.000000000,0.254906743,-0.102225930,0.253404120,-0.009334795,-0.026012717,0.002385725,-0.000959473,0.000051734,-0.036820933
1751346426.020871,20532194.000000000,1751346426.000000000,4.000000000,0.254955177,-0.102095787,0.253456845,-0.009304181,-0.025984652,0.002368677,-0.000884472,0.000074221,-0.036692658
1751346426.070877,70521527.000000000,1751346426.000000000,4.000000000,0.255007892,-0.101916300,0.253516102,-0.009246331,-0.025944492,0.002337558,-0.000768353,0.000103818,-0.036456204
1751346426.120916,120556392.000000000,1751346426.000000000,4.000000000,0.255048032,-0.101793742,0.253560753,-0.009204743,-0.025917480,0.002311053,-0.000685962,0.000121065,-0.036285988
1751346426.170675,170481179.000000000,1751346426.000000000,4.000000000,0.255080878,-0.101665643,0.253598588,-0.009154551,-0.025888311,0.002276536,-0.000595036,0.000137772,-0.036082921
1751346426.220938,220588264.000000000,1751346426.000000000,4.000000000,0.255124341,-0.101578362,0.253644903,-0.009132698,-0.025870570,0.002254966,-0.000544615,0.000145975,-0.035990294
1751346426.270889,270528394.000000000,1751346426.000000000,4.000000000,0.255060451,-0.101079046,0.253595115,-0.009107039,-0.025737388,0.002190603,-0.000490447,0.000259019,-0.035896305
1751346426.320885,320544937.000000000,1751346426.000000000,4.000000000,0.255083698,-0.101032808,0.253620759,-0.009070479,-0.025728000,0.002160393,-0.000428746,0.000252579,-0.035748708
1751346426.371027,370544309.000000000,1751346426.000000000,4.000000000,0.255094408,-0.101003978,0.253633104,-0.009044156,-0.025721763,0.002137601,-0.000386785,0.000247817,-0.035643320
1751346426.421096,420572095.000000000,1751346426.000000000,4.000000000,0.255207841,-0.100903768,0.253748250,-0.009054220,-0.025707757,0.002128938,-0.000371268,0.000244886,-0.035666771
1751346426.470735,470493900.000000000,1751346426.000000000,4.000000000,0.255154466,-0.100587075,0.253705030,-0.009004088,-0.025621984,0.002056694,-0.000296013,0.000303549,-0.035475493
