[0.000000] (-) TimerEvent: {}
[0.000071] (-) JobUnselected: {'identifier': 'aimer'}
[0.000102] (-) JobUnselected: {'identifier': 'armor_pointer'}
[0.000126] (-) JobUnselected: {'identifier': 'autoaim_msgs'}
[0.000144] (-) JobUnselected: {'identifier': 'cboard'}
[0.000164] (-) JobUnselected: {'identifier': 'detected'}
[0.000183] (-) JobUnselected: {'identifier': 'dm_imu'}
[0.000203] (-) JobUnselected: {'identifier': 'filter_lib'}
[0.000220] (-) JobUnselected: {'identifier': 'gimbal'}
[0.000237] (-) JobUnselected: {'identifier': 'hikvision'}
[0.000253] (-) JobUnselected: {'identifier': 'launch_node'}
[0.000269] (-) JobUnselected: {'identifier': 'motion_model'}
[0.000287] (-) JobUnselected: {'identifier': 'pipeline'}
[0.000601] (-) JobUnselected: {'identifier': 'planner'}
[0.000636] (-) JobUnselected: {'identifier': 'predictor'}
[0.000755] (-) JobUnselected: {'identifier': 'serial'}
[0.000775] (-) JobUnselected: {'identifier': 'solver'}
[0.000794] (-) JobUnselected: {'identifier': 'tracker'}
[0.000812] (-) JobUnselected: {'identifier': 'utils'}
[0.000835] (-) EventReactorShutdown: {}
